source,project_number,project_title,phase,recipient,geographic_distribution,location,description,collaborators,broad_header,section,include
BCSRIF,BCSRIF_2019_058,Enhancing Sustainability of capture & release marine recreational Pacific salmon fisheries using new tools/technology,1,"University of British Columbia (Vancouver), Department of Forest and Conservation Sciences",BC Wide and Coastal Waters,Pacific Ocean,The University of British Columbia will lead a science partnership project to conduct research on improving the sustainability of capture and release marine recreational Pacific salmon fisheries using new tools and technology.,"Moss Rock Foundation
Dr. Steve Cooke (Carleton University)
Ocean Tracking Network Canada
... 24 in total from year-end report",NA,NA,n
BCSRIF,BCSRIF_2019_067,Elephant Hill Fire Riparian Restoration Project,1,Secwepemcul’ecw Restoration & Stewardship Society,Fraser and Interior,Elephant Hill Area (Ashcroft/Cache Creek) ,The Secwepemcul'ecw Restoration and Stewardship Society in partnership with Secwepemc communities and the 100 Mile Natural Resource District will undertake restoration of critical habitat affected by the 2017 Elephant Hill Wildfire in the traditional territories of the 8 Secwepemcul'ecw Nations.,"Maggie Branton
University of British Columbia
Secwepemcul’ecw Restoration & Stewardship Society",NA,NA,n
BCSRIF,BCSRIF_2019_071,Plateau Fire Recovery – Riparian Plant Collection and Planting for Restoration of Chinook and Coho Salmon Habitat in the Nazko Area,1,Baker Creek Enhancement Society,Fraser and Interior,Nazko Area – West of Quesnel ,The Baker Creek Enhancement Society will collaborate with the Nazko First Nation to undertake restoration of critical habitat affected by the Plateau Fire. This work will also prevent further habitat degradation from normal precipitation and predictable storm events.,"Pacific Salmon Foundation
Baker Creek Enhancement Society
Nazko First Nation
Quesnel River Environmental Restoration
Planning Team
Sitka Foundation
Private Donations",NA,NA,n
BCSRIF,BCSRIF_2019_074,Place-based Risk of Climate Change to Sustainability of BC Wild and Hatchery-origin Salmon,1,Pacific Climate Impacts Consortium,BC Wide and Coastal Waters,BC Wide,The Pacific Climate Impacts Consortium will conduct research to improve our understanding of potential threats posed to Pacific salmonids and their habitats posed by climate change and develop risk assessment tools to support adaptive regional management approaches.,"DFO (PBS), University of Northern British Columbia, Environment and Climate Change Canada, University of Waterloo",NA,NA,n
BCSRIF,BCSRIF_2019_080,Upper Fraser Chinook Strategic Enhancement Project,1,Spruce City Wildlife Association,Fraser and Interior,Middle and Upper Fraser Watershed (Prince George),"Funding will support infrastructure upgrades to the to the Spruce City Wildlife Association's conservation hatchery to improve biosecurity and enhance production at the facility to support the restoration and rebuilding of Upper and Middle Fraser chinook stocks. Activities include the acquisition and installation of larger troughs, a custom recirculation system with UV sterilization particulate and biological filtration water chilling with aeration pump and backup power generator. This project will also support the collection of critical natal stream information to inform rearing and stocking practices.","Pacific Salmon Foundation
Enbridge Inc.
Carrier Sekani Tribal Council
Integris Credit Union
Upper Fraser Fisheries Conservation Alliance
Rio Tinto Alcan

",NA,NA,n
BCSRIF,BCSRIF_2019_081,Inkaneep Creek Restoration,1,Osoyoos Indian Band,Columbia and Kootenays,Oliver,This project will support post-mudslide restoration and effectiveness monitoring for Inkaneep Creek and the floodplain. Restoration work will improve the survivability of Okanagan steelhead rainbow trout and chinook salmon and apply an innovative combination of traditional knowledge and science towards sustainable fisheries co-management.,"Okanagan Sub-basin Habitat Improvement Program (OSHIP)
Okanagan Nation Alliance (ONA)
Habitat Conservation Trust fund
Priest Rapids Conservation Committee
TD Canada Trust – Friends of the Environment Fund
Pacific Salmon Foundation (PSF) -  Community Salmon Program
Okanagan Basin Monitoring and Evaluation Program (OBMEP) via the Colville Confederated Tribes",NA,NA,n
BCSRIF,BCSRIF_2019_083,Optimizing Recirculating Aquaculture Systems for Sustainable Salmon Production,1,"University of British Columbia (Vancouver), Department of Zoology",BC Wide and Coastal Waters,Vancouver,This study aims to provide a BC-based solution for growing larger more physiologically robust Atlantic salmon smolts in freshwater recirculating aquaculture systems (RAS). This project will help to improve both the sustainability and productivity of the BC aquaculture industry by increasing the amount of time farmed salmon are reared in land-based RAS and reducing the amount of time farmed Atlantic salmon spend in marine net-pens.,"MOWI Canada West
University of British Columbia",NA,NA,n
BCSRIF,BCSRIF_2019_092,Drivers of Inter-annual variability in Zooplankton Feeding in the Strait of Georgia: A combined model-observation approach,1,"University of British Columbia (Vancouver), Department of Earth, Ocean and Atmospheric Sciences",South Coast,Vancouver,The University of British Columbia will conduct research to improve understanding of the changing ecosystem facing out-migrating juvenile salmon in the Strait of Georgia. Activities include quantifying key rivers of zooplankton (small animals that feed on ocean plants) feeding and to explore how zooplankton abundance and distribution are affected by environmental conditions.,"DFO Institute of Ocean Sciences, Compute Canada, Information and Communications Digital Council - WIL Digital Program, University of Washington",NA,NA,n
BCSRIF,BCSRIF_2019_100,Seymour Watershed Restoration Project,1,Seymour Salmonid Society,South Coast,North Vancouver,This multi-year watershed-wide initiative combines rockslide mitigation work to enable upstream fish passage along with physical habitat enhancement and restoration works to improve the habitat quality and functionality within the watershed. The recipient will also conduct monitoring to confirm the success of the project in establishing fish passage and providing restored and enhanced habitat for wild Pacific salmonid stocks for future generations.,"Greater Vancouver Water District (GVWD), Habitat Conservation Trust Foundation (HVTF), Pacific Salmon Foundation, DNV Firefighters Charitable Society, Neptune Terminals, BC Gaming",NA,NA,n
BCSRIF,BCSRIF_2019_104,Upper Adams Salmon Restoration Program,1,Adams Lake Indian Band,Fraser and Interior,Upper Adams Watershed,Funding will support restoration of the Upper Adams early summer run sockeye to a sustainable level and improve opportunities for sustainable use. Nutrients will be applied to Adams Lake rearing habitat to restore historical lake productivity and improve marine survival and future returns of early summer run sockeye.,"Ministry of Environment and Climate Change
Secwepemc Fisheries Commission
Okanagan Nation Alliance ",NA,NA,n
BCSRIF,BCSRIF_2019_107,Broughton wild salmon restoration project,1,'Namgis First Nation,South Coast,Broughton,"The ‘Namgis, Kwikwasut'inuxw Haxwa'mis and Mamalilikulla First Nations will partner on activities to assess prioritize and restore critical salmon habitat in the Nimpkish and Kokish Rivers flowing from Bond Sound, Thompson Sound, Wakemen Sound, Viner Sound, and Rivers Near Hoyea Sound and Lull Creek.",n/a,NA,NA,n
BCSRIF,BCSRIF_2019_108,Independent BC First Nations Genomics Lab Project - Phase 1,1,'Namgis First Nation,South Coast,Broughton,"The ‘Namgis, Kwikwasut'inuxw Haxwa'mis and Mamalilikulla First Nations will partner on activities to assess prioritize and restore critical salmon habitat in the Nimpkish and Kokish Rivers flowing from Bond Sound, Thompson Sound, Wakemen Sound, Viner Sound, and Rivers Near Hoyea Sound and Lull Creek.","Fisheries and Oceans Canada (Pacific Biological Station Lab – Pacific Region)
Okanagan Nation Alliance (kł cp̓əlk̓ stim̓ Laboratory)",NA,NA,n
BCSRIF,BCSRIF_2019_108B,Phase 2: Independent First Nations' Genomic Lab for BC,1,'Namgis First Nation,South Coast,Broughton,Funding will support the establishments of an Independent BC First Nations Genomics Laboratory. Project partners will equip the kł cp̓əlk̓ stim̓ laboratory with Fluidigm BioMark™ technology to analyze samples collected through the Indigenous Monitoring and Inspection Plan (IMIP) as well as providing services to other First Nations in British Columbia with an interest in conducting independent fish health sampling.,"Okanagan Nation Alliance
Broughton Aquaculture Transition Initiative ",NA,NA,n
BCSRIF,BCSRIF_2019_109,Implementation of the Broughton First Nations Indigenous Monitoring and Inspection Plan,1,'Namgis First Nation,South Coast,Broughton,"The ‘Namgis, Kwikwasut'inuxw Haxwa'mis and Mamalilikulla First Nations will implement the Broughton First Nations Indigenous monitoring and inspection plan  using BCSRIF support to build monitoring and oversight capacity over finfish farms in the Broughton capacity to monitor wild salmon other marine species (and their ecosystems) and to conduct salmon habitat restoration activities.",Province of British Columbia ,NA,NA,n
BCSRIF,BCSRIF_2019_112,Percy Walkus Hatchery Upgrade,1,Pacific Salmon Foundation,Central Coast and the North,Rivers Inlet (Central Coast),Funding will support upgrades to the Percy Walkus Hatchery in Rivers Inlet which provides local capacity to enhance three local chinook salmon stocks of significant cultural and economic significance. The upgrades to the hatchery will improve the site efficiency increase the flexibility of rearing options and reduce the carbon footprint of facility operations.,"Fisheries and Oceans Canada (Salmonid Enhancement Program)
Pacific Salmon Foundation
Wuikinuxv First Nation
",NA,NA,n
BCSRIF,BCSRIF_2019_113,"Field application and testing of tools for identifying, mapping and quantifying important forage fish populations and their habitats to support enhanced conservation of chinook salmon in coastal BC",1,Comox Valley Project Watershed Society ,,,,,NA,NA,n
BCSRIF,BCSRIF_2019_118,Chilliwack Coho PIT Tag Escapement Project,1,Lower Fraser Fisheries Alliance Society,Fraser and Interior,Vedder Canal/Chilliwack River,Funding will contribute to an improved understanding of stock status and trends through the development and demonstration of PIT tag mark-recapture techniques for hatchery coho salmon in the Chilliwack River using large PIT arrays to enumerate annual hatchery returning fish during spawning migration. The infrastructure developed for this project will be used to inform future work on stock level PIT tagging enumeration studies of Fraser salmon.,Southern Endowment Fund,NA,NA,n
BCSRIF,BCSRIF_2019_124,Resilient Waters Project: Phase 1,1,MakeWay Charitable Society,Fraser and Interior,Fraser River,Tides Canada and the Watershed Watch Society along with other partners will implement a project to identify priority sites requiring infrastructure upgrades and habitat restoration across the Lower Fraser River watershed which will support the reintegration of vital wild salmon habitat.,"WWSS
KWL
Pearson
PSF
REFBC
FWCP
Leqamel
Tswawwassen
Delta
Kwikwetlem
Metro Van
UBC
SFU
DFO (Murray)
Cheam
BC Parks
City of Chilliwack",NA,NA,n
BCSRIF,BCSRIF_2019_125,Millstream Fishway Project,1,Peninsula Streams Society,South Coast,Saanich,This urban habitat restoration project will improve fish passage in Millstream Creek by creating a fishway that will allow fish to move up to and through a large culvert under Atkins Road near Mill Hill Regional park. This will aid fish passage and allow resident trout and spawning adult coho salmon access to over eight kilometers of habitat upstream.,"Province of B.C. Gaming Capital Project Grant
Pacific Salmon Foundation
City of Langford
Town of View Royal
Jim Hartshorne (Keycorp)
Trotac Marine Supply Store
Ralmax Group Holdings Ltd.
Bear Mountain Resort
Market on Millstream
A.R. Gardner & Associates Ltd.
Victoria Fish & Game Protective Association
Esquimalt Anglers
Goldstream Volunteer Salmonid Enhancement Association
Victoria Golden Rods and Reels
District of Highlands
Rotary Club of West Shore
Miscellaneous donations and in-kind
Peninsula Streams Society
",NA,NA,n
BCSRIF,BCSRIF_2019_129,Partnership for a novel framework for assessing and managing Pacific Herring fisheries on the West Coast of Vancouver Island,1,Nuu-chah-nulth Tribal Council,,,,,NA,NA,n
BCSRIF,BCSRIF_2019_130,Cowichan River Salmon Restoration program - Sustainable Water Supply - Engineering,1,Cowichan Valley Regional District,South Coast,Cowichan Lake,The Cowichan Valley Regional District and partners including Cowichan Tribes will conduct an evaluation of the natural boundary of Cowichan Lake to support building critical new water storage infrastructure to provide flows required to sustain Cowichan salmon populations.,"Cowichan Valley Regional District
Cowichan Tribes
Paper Excellence
Cowichan Watershed Board",NA,NA,n
BCSRIF,BCSRIF_2019_136,Science-based review of hatchery results in the DFO Pacific Region,1,Pacific Salmon Foundation,South Coast,Straight of Georgia,The Pacific Salmon Foundation (PSF) will conduct a science-based review of hatcheries in the Pacific Region (including community hatcheries and DFOs major facilities) to evaluate performance and the effectiveness of current genetic and genomic tools in order to optimize salmon production in BC.,Pacific Salmon Foundation,NA,NA,n
BCSRIF,BCSRIF_2019_137,BC Fish Passage Joint Venture,1,Canadian Wildlife Federation,BC Wide and Coastal Waters,BC Wide,"The Canadian Wildlife Federation will bring together partners including federal and provincial governments, non-governmental organizations, First Nations and communities to prioritize fish passage remediation efforts across B.C. to maximize the benefits for steelhead trout and Pacific salmon.","Province of British Columbia
Canadian Wildlife Federation
Pacific Salmon Foundation
University of British Columbia
Pacific Streamkeepers Federation
Seymour River Salmonid Society
Squamish River Watershed Society
West Vancouver Streamkeepers Society
Mitacs
Takla First Nation
Royal Bank of Canada
BC Hydro
Other Federal Government Support (DFO contributions to remediation project planning and management)
Triton Environmental
Spruce City Wildlife Association
CP Rail
CN Rail
Scw’exmx Tribal Council
Fisheries and Oceans Canada 
Municipality of North Saanich 
RBC Bluewater
UBC effectiveness monitoring
Mitacs 
Mill Bay & District Conservation Society 
Canadian Wildlife Federation 
",NA,NA,n
BCSRIF,BCSRIF_2019_148,Kitwanga River Sockeye Salmon Recovery Plan Implementation,1,Gitanyow Fisheries Authority,Central Coast and the North,Skeena River,The Gitanyow Fisheries Authority will undertake small scale enhancement and habitat restoration projects to maximize spawner success over the next five years and to identify the limiting factors to Kitwanga sockeye production. The goal of the project is to identify and develop solutions to ultimately stop and reverse the decline of Kitwanga sockeye and help rebuild the stock.,"Skeena Fisheries Commission, Gitanyow Hereditary Chiefs Office, Pacific Salmon Foundation, Skeena Wild Conservation Trust

",NA,NA,n
BCSRIF,BCSRIF_2019_172,Bear River Autonomous Salmon Enumeration,1,Skeena Fisheries Commission,Central Coast and the North,"Bear River, Skeena River Watershed",The Skeena Fisheries Commission will develop a semi-autonomous salmon enumeration fence to allow for more accurate monitoring of Bear River Watershed chinook coho and sockeye. Increased understanding of these populations will be used to inform future fisheries management approaches.,"Gitksan Watershed Authorities, Takla Lake First Nation",NA,NA,n
BCSRIF,BCSRIF_2019_181A,Promotion of Habitat Restoration and Stewardship on Agricultural Lands in the BC,1,BC Cattlemen’s Association Program Delivery Inc,Fraser and Interior,BCI,The British Columbia Cattlemen's Association will deliver the Farmland riparian interface stewardship program promoting habitat restoration and stewardship on agricultural lands in BC. The program will encourage environmental farm planning within the agricultural sector for more “fish friendly” land management practices around riparian corridors as well as promoting water conservation for BC Interior salmon streams experiencing frequent critical low flows.,"Landowners , EFP 
NGO partnerships 
Gas tax
",NA,NA,n
BCSRIF,BCSRIF_2019_184A,IYS: International Pan-Pacific Salmon Expedition (2021),1,North Pacific Anadromous Fish Commission ,BC Wide and Coastal Waters,Pacific Ocean,International Year of the Salmon partners including the North Pacific Anadromous Fish Commission and the North Atlantic Salmon Conservation Organization will conduct pan-Pacific vessel surveys in winter/summer 2021 to monitor distribution abundance and productivity of salmon to directly inform fisheries management decision and enforcement efforts. This project will provide insight into how climate variability influences the distribution migration growth and fitness of Pacific salmon.,"NPAFC
PICES
Japan
Tula Foundation
Tula Foundation 
Canada (DFO/Coast Guard in kind ship time)
United States
Russia
North Pacific Research Board
North Pacific Fisheries Commission
Pacific Salmon Foundation
",NA,NA,n
BCSRIF,BCSRIF_2019_190,BC Fishing App,1,Sport Fishing Institute of BC,BC Wide and Coastal Waters,Pacific Ocean,The Sport Fishing Institute (SFI) will develop the Fishing BC mobile app an online information and catch monitoring tool.,Sport Fishing Institute of BC,NA,NA,n
BCSRIF,BCSRIF_2019_191,Vision 2021,1,Sport Fishing Institute of BC,BC Wide and Coastal Waters,Pacific Ocean,The project aims to improve representation of the fishing community and increase participation in the fishing sector by youth new Canadians and others.,,NA,NA,n
BCSRIF,BCSRIF_2019_192,Winter Salmon Survey in the Gulf of Alaska,1,Pacific Salmon Foundation,BC Wide and Coastal Waters,Gulf of Alaska,"This project will support a second year of international research in the Gulf of Alaska to study the abundance, health and habitat use of Pacific salmonids during winter conditions. This research will increase the understanding of the environmental factors affecting salmon production and allow researchers to consider strategies to address ecosystem change under future climate conditions.",,NA,NA,n
BCSRIF,BCSRIF_2020_208,Kingfisher Intake Restoration,1,Kingfisher Interpretive Centre Society,Fraser and Interior,Enderby,The Kingfisher Interpretive Centre will undertake repairs to the water intake system for its hatchery which suffered major damage in Cooke Creek in 2014. As a result of the damage KICS has been forced to release unfed chinook fry resulting in higher mortalities. Feeding the fry will increase the survival rate and allow KICS to offer more visitors firsthand experience with these fish.,"Kingfisher Interpretive Centre Society
Fisheries and Oceans Canada Community Involvement Program",NA,NA,n
BCSRIF,BCSRIF_2020_209,Chapman Creek Hatchery water supply and capacity upgrades,1,Sunshine Coast Salmonid Enhancement Society,South Coast,Sechelt,The Sunshine Coast Salmonid Enhancement Society will work to identify an alternative water source for the Chapman Creek Hatchery to address extremely low flows in Chapman Creek during the summer months. Two test wells will serve as production and emergency wells to support rearing of coho salmon at the hatchery.,,NA,NA,n
BCSRIF,BCSRIF_2020_210,Seymour Hatchery Infrastructure Renewal,1,Seymour Salmonid Society,South Coast,North Vancouver,The Seymour Salmonid Society will undertake maintenance and facility upgrades including a new feed storage container sewage storage tank perimeter fencing and outdoor pond roof structure to ensure the Seymour hatchery and education center can continue to support the restoration and conservation of the salmonid populations in the Seymour watershed.,,NA,NA,n
BCSRIF,BCSRIF_2020_212,Modernizing catch reporting in Canada's Pacific Region Salmon Fisheries,1,Archipelago Marine Research Ltd,South Coast,"Coastal BC, Victoria, BC",The project will result in the development of a user-friendly mobile application for fishermen to record their fishing logbook data and submit daily catch reports and hails. This new tool will improve the timeliness and accuracy of the data that is produced to support in season management of the salmon fishery.,,NA,NA,n
BCSRIF,BCSRIF_2020_216,Chemainus/Koksilah Twinned Watershed Sustainability Project,1,Cowichan Tribes,South Coast,Duncan,BCSRIF funding will support and leverage the development of a salmon-relevant Water Sustainability Plan in the Chemainus and Koksilah Watershed which will provide a critical link between First Nations rights and title federally managed anadromous salmon stocks and provincially managed land use. The Plan will also provide a roadmap for other regions of the Province where similar work is needed.,,NA,NA,n
BCSRIF,BCSRIF_2020_217,Developing a cumulative effects modelling framework for the recovery of aquatic salmonid populations,1,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",Fraser and Interior,Vancouver,University of BC researchers and partners will develop a framework for modeling cumulative impacts on salmonid populations to guide recovery planning and adaptive management based on stressor-response functions related to multiple threats.,"Alberta Environment and Parks
Fisheries and Oceans Canada (Freshwater Institute)
BC Ministry of Environment
Simon Fraser University
",NA,NA,n
BCSRIF,BCSRIF_2020_218,UAV Habitat Mapping to Inform wild Salmon Stewardship,1,First Nations Fisheries Legacy Fund Society,BC Wide and Coastal Waters,"Lower Fraser River, Skeena River, Okanagan","The proponent aims to enhance capacity for monitoring and managing wild salmon habitat in First Nations by integrating community mapping with geospatial technologies. The project will inventory baseline data, local fish habitat knowledge and geospatial technologies available to each First Nation for undertaking long-term salmon habitat monitoring. The results of this work will inform long-term water and salmon stewardship planning processes and provide valuable information on watershed dynamics and trends critical to wild salmon populations.","University of Victoria - $175,750",NA,NA,n
BCSRIF,BCSRIF_2020_219,Skeena Estuary Habitat Management and Protection Planning,1,North Coast-Skeena First Nations Stewardship Society,Central Coast and the North,"Areas within the Skeena River Estuary, North Coast of British Columbia",The goal of this project is to inform and engage in the collaborative development of an effective monitoring assessment and management plan for the Skeena Estuary to ensure the protection and restoration of key fish habitats with a focus on salmon to ensure a sustained First Nations fishery. This project will use a phased multi-year approach to develop a Skeena Estuary Habitat Management and Protection Plan and to implement prioritized estuarine habitat restoration projects.,"Marine Plan Partnership (MaPP), Environmental Stewardship Initiative (ESI) and Nations: Gitga'at, Gitxaala, Kitselas, Kitsumkalum, Haisla, Metlakatla",NA,NA,n
BCSRIF,BCSRIF_2020_224,Selective Fishing Using a Salmon Trap,1,Tsawwassen First Nation,Fraser and Interior,Tsawwassen,The recipient will design and operate a tidal waters salmon trap close to its traditional fishing sites (near the mouth of the Fraser River). The project objectives include identifying and assessing a suitable trap site then building operating and maintaining the trap and monitoring fish health.,,NA,NA,n
BCSRIF,BCSRIF_2020_225,Highway 16 corridor fish stranding,1,Kitsumkalum Indian Band,Central Coast and the North,Terrace,The goal of this project is to identify and prioritize sites within the Skeena watershed and to develop solutions to maximize survival of local Pacific salmon populations. Potential solutions include introducing fish passage to high quality rearing habitat and infilling of unsuitable areas in order to prevent juveniles salmonids from entering areas where they become trapped.,"DFO – IHPP, DFO – SEP RRU, BC Hydro, CN Rail, Province of BC (MOTI, FLNRO)
",NA,NA,n
BCSRIF,BCSRIF_2020_226,Babine Lake Creel Survey,1,Lake Babine Nation Fisheries,Central Coast and the North,"Houston, BC",The Lake Babine First Nation will conduct creel surveys over three years collecting information on the total number of sockeye harvested by sport fishermen. The creel surveys will provide valuable data on the catch and effort of the recreational Sockeye fishery in the area supporting in-season fisheries management decisions.,,NA,NA,n
BCSRIF,BCSRIF_2020_232,Development and establishment of Vancouver Island Chinook Committee,1,Island Marine Aquatic Working Group,South Coast,Fraser Canyon ( Soda Creek to Yale) BC,Funding will support the establishment of a Vancouver Island Salmon Committee and supporting Technical Working Group. This collaborative initiative will bring together local expertise traditional Indigenous knowledge and local knowledge specific to Vancouver Island and mainland inlet chinook populations to support efforts to rebuild Southern BC chinook and to inform broader efforts to conserve and restore all salmon species of Vancouver Island and mainland inlets.,,NA,NA,n
BCSRIF,BCSRIF_2020_233,"Landslide impact on the flow dynamics, fish migration and genetics of Fraser River Salmon",1,"Simon Fraser University, School of Environmental Science",Fraser and Interior,Fraser Canyon – Yale to Soda Creek,Simon Fraser University will work with partners to investigate the risks posed by natural earth surface processes such as landslides and hydraulic barriers on Fraser River salmon. The project will use innovative technologies to measure and monitor earth surface processes and frontline techniques in molecular genomics. The work will result in a better understanding of the infrastructure needed to enable successful fish migration across hydraulic barriers such as the Big Bar Landslide.,"Hakai Institute (Tula Foundation)
Fisheries and Oceans Canada Environmental Watch Program
Fisheries and Oceans Canada Big Bar Slide Monitoring Program
Simon Fraser University Institutional Strategic Awards Office
Simon Fraser University River Dynamics Lab",NA,NA,n
BCSRIF,BCSRIF_2020_238,"Assessment of sampling methodologies, March 2022 Gulf of Alaska",1,Pacific Salmon Foundation,BC Wide and Coastal Waters,Gulf of Alaska,,,NA,NA,n
